,user_name,conscientiousness,openness,neuroticism,agreeableness,extraversion
63,amanda_edsell,47.13018031,37.04013651,32.5742623,52.78468816,46.01195988
64,jutesmusic,42.4886141,52.47662894,20.55747386,55.82847978,53.82800165
65,natelessert,56.02475579,48.51253208,42.26741034,65.83828232,67.48701764
66,mrsksharpe,53.26946655,56.53468998,33.94625891,69.08054782,62.58382334
67,stacydon_,66.67729388,51.95761129,34.80102994,58.73112314,70.63303621
68,kateasimps,48.67286787,39.95819988,19.62819223,69.81567349,57.21715427
69,emprendedores2.0,28.11344748,35.52906,23.32284323,43.93733317,40.20879307
70,corneliusmasterson,41.58906801,46.9468096,31.10962591,43.72750135,44.00206755
71,kinggtress,53.91500207,41.84422684,39.09594105,52.31035064,53.417365
72,heynatalia,53.32103286,40.10594969,26.86205783,62.4634719,68.64262357
73,samantha.markiewicz,47.5770626,49.98173162,28.55791065,58.52745853,73.97679491
74,kingvuddha,32.74653478,56.37625479,49.16038743,41.34365319,48.92360881
75,banterinbeverly,55.98139329,39.770692,36.42323286,57.3986336,54.49292249
76,jesseburdick,62.39562413,57.94815529,48.52992848,70.26220585,74.81637495
77,skamartist,65.56279942,51.99217371,24.42864684,74.1898726,75.32578312
78,savagefridays,35.39870695,36.23018924,27.86580937,49.23773909,51.4798763
79,lightsfox,36.25785512,41.71373068,39.33456356,50.28462715,45.75047412
80,wendyhopemusic,49.91419327,40.03456267,29.00248519,53.07656198,54.6002395
81,miamivscarolcity,40.98140123,39.3281432,34.35716538,46.88296926,35.7239776
82,therealdollicia,61.05182349,51.71924575,34.20994066,65.29061287,61.98148008
83,angie_elizabethborja,37.87819771,33.60885815,40.29906059,39.94689138,39.57089603
84,gunnerandlux,43.96708735,41.14583482,43.79818889,52.35186998,69.94758162
85,carlossarm1,32.69177809,38.54603887,26.65869071,48.61317419,39.88460839
86,sewnbynikki,46.12908322,47.02559475,34.03067579,52.04456986,56.08083273
87,andreaneeley,37.7396762,46.00836166,23.89409155,58.12365562,48.06352354
88,rubyvelleandthesoulphonics,54.96360438,49.57640496,20.75045275,54.9718276,52.72546578
89,beauty_nurse_elizabeth,48.78793425,50.39271582,26.39803841,55.70384284,49.82664219
90,larashah_,49.31305345,42.90411954,29.44817701,58.36403396,57.86491386
91,tungevaagraaban,41.44299094,49.42472967,41.697426,48.97008518,44.98384179
92,nicolanakase,43.65764204,48.39307351,26.55526045,66.49520091,62.75508492
93,greatnesseffect,45.96413629,50.98119029,33.93865309,56.66193423,59.88239848
94,gunsnrosesmemes,27.53325446,32.40491637,33.81665201,45.35721368,37.34460332
95,technostyle_,53.08570567,41.54277058,30.123005,47.59097404,59.46902906
96,xylo,42.75596059,40.27577845,43.2126367,50.31021814,48.87643418
97,samanthabrownstyle,70.36714269,56.67528904,42.07290965,62.64789954,70.07499303
98,thomasramdhan,38.24459441,35.51120977,22.53157654,52.93777206,53.74707543
99,peachburritovintage,50.04487957,51.42211495,27.78005184,60.72753834,50.68483551
100,iamlaur.elle,57.76245414,40.87075557,28.65903031,60.10743155,59.91747378
101,shaunfrank,54.64446438,45.37563921,24.82991332,66.28155123,59.72169875
102,valeriane.c,31.80563399,37.0858662,25.43923727,47.76331398,31.13726108
103,themindofbizzel,48.60402096,55.0601583,35.77828452,56.85859443,47.94460589
104,faeezfadhlillah,61.42929644,44.90576677,28.56933575,47.72651955,67.47366907
105,delailajohnson,36.35596108,41.07751062,41.54910076,48.97867312,50.88200999
106,maka_shankishvili,47.74873595,40.32090475,31.67031736,52.30371389,47.48064274
107,bgcapparel,44.4000171,46.13746277,43.10820798,38.90569944,42.43827549
108,heleneboker,26.89672071,33.9599083,25.91493677,44.44078399,39.18620679
109,kianajasmyne,50.41807856,49.3778282,29.54305117,60.89625641,53.09705139
110,tezzy_frmlinn,50.55336378,46.78300169,62.37876725,51.04380558,65.35290771
111,ballyhoorocks,47.66378228,37.87450655,36.74767962,54.52080363,50.97498493
112,tootieimher,59.45504771,56.30192421,41.48742997,64.81342777,57.02275805
113,gusarcefit,25.60712832,36.28290668,23.49569479,40.97036836,39.57084058
114,jonathan_doerr,31.15975274,36.79928002,21.87993666,46.31465964,41.44654086
115,lilsnacks_,44.15371143,48.02944557,52.13615579,51.65950819,58.77222423
116,drupresta,52.01042665,60.17458341,51.21493392,63.93122121,51.94903854
117,marissamonroe101,51.83314521,40.72104188,24.51062703,73.48676569,63.05124984
118,thesunnyroy,45.83456285,39.18451667,38.71908002,45.01080563,43.92361413
119,thealistory,32.26333021,34.80232832,25.91828536,53.33114632,49.50995998
120,markmackillop,55.71451993,45.78189496,46.18864899,54.7378201,58.18658758
121,tashas_designs_artist_shop,35.36311758,33.96892882,41.28085818,51.17967959,47.02774967
122,michellerazavi,45.22875365,42.39584997,29.78570768,50.77196378,53.42746939
123,naaman_official,55.19981239,57.79290907,28.49148925,73.18118482,70.4349153
124,nomadista_nutrition,51.5352173,45.00060024,27.50314761,54.44667883,59.46573392
125,jasmineharlin,60.7306346,50.29345585,27.24515567,60.89894646,67.38956463
126,izzzy.e,47.57456351,41.86814518,45.76417144,37.14567896,50.15828537
127,maryse.official,34.0307912,40.45325107,23.18198924,53.10570564,44.81777045
128,skystrategicmarketing,61.5969962,43.90355783,24.93103123,57.90018596,77.4046075
129,lianev,38.58712845,43.97332293,27.16336048,60.41407821,58.66350815
130,hellodarlingblog,41.0851822,34.04756004,26.23563353,55.88333123,47.00285232
131,global_girl_gourmet,53.51242155,65.1205768,28.01699565,71.83113041,61.11528747
132,ericamariestyle,62.01345585,53.15467558,33.46642565,60.96556317,75.52190982
133,tequilaandpassports,50.47398343,44.83436803,23.5448858,65.84202214,69.57881047
134,robsperry,49.39417381,36.43137892,41.93378707,52.83623562,52.7182154
135,mathematicswu,50.26506037,51.32226523,30.76757988,57.25768512,59.76903428
136,handtiedxhairamaste,47.18958404,52.45697133,20.62286424,55.68148264,49.24911579
137,carleydeibler,49.64120957,48.19496933,26.83972468,64.05573377,76.1476213
138,ivysantiago.la,67.8857068,49.17846075,30.27524589,66.341158,77.5687544
139,sylviag_artist,25.26019815,42.74940198,49.21876867,30.84744321,35.28766286
140,shainafalconefitness,52.90512183,58.01423014,43.63769173,57.17752581,53.86905541
141,mirandallepore,60.40625765,43.94842242,37.58595751,54.66658926,59.58849618
142,logogreat,48.65240346,51.23621112,22.41359248,70.9592732,64.85934726
143,evaainsworth,27.48905036,36.54414908,23.32843691,44.85006546,42.23303113
144,worldwide_360_waves,33.19542579,47.43571097,31.37699793,52.55641822,46.34395513
145,frases_reales_2018,23.54718913,30.32460207,34.13480585,34.85817832,32.19544088
146,mistertexture,43.58328325,53.61647325,35.91089249,53.41109229,47.24759132
147,courtney_lanexo,57.72831349,53.30625322,38.90361716,54.64736289,70.64531031
148,vishalsrivastavofficial,27.80130711,33.01556897,25.9222929,47.18207836,39.90690606
149,yussrawael,48.1943428,41.48532226,29.21151795,54.77169415,50.14613661
150,stacysolowcustomclothing,48.22424945,43.94897322,25.78459318,55.9641586,56.31510013
151,joliedonzo_,48.74774834,39.62459737,34.0606361,49.77768825,43.82939722
152,mlg713,42.04669089,38.0949048,36.61793866,44.5451893,53.0228487
153,sh0rty805,41.02882229,43.19706914,25.07862909,57.35703394,56.3267409
154,official_1team,45.61466539,35.96781911,21.30952615,52.62113724,57.5288812
